,family,name,number,id,try2
0,佐藤,陽菜,7,3.0,33
1,佐藤,蒼,5,939.0,41
1,佐藤,葵,2,124.0,45
2,佐藤,陽翔,6,42.0,47
2,伊藤,蓮,2,808.0,39
4,佐藤,芽依,9,591.0,47
4,田中,碧,10,572.0,31
4,高橋,蒼,10,869.0,31
7,佐藤,凛,10,241.0,40
7,伊藤,蒼,3,870.0,30
10,鈴木,陽葵,5,222.0,36
10,鈴木,樹,6,334.0,31
10,田中,朝陽,7,314.0,40
15,伊藤,湊,4,417.0,36
19,佐藤,陽翔,3,675.0,36
21,伊藤,陽葵,7,306.0,33
25,高橋,陽菜,6,546.0,45
26,高橋,紬,4,88.0,49
27,高橋,樹,7,602.0,43
28,高橋,樹,5,65.0,31
29,鈴木,葵,0,27.0,50
30,田中,湊,7,859.0,37
30,佐藤,蓮,5,662.0,30
31,佐藤,陽葵,9,332.0,35
31,佐藤,蒼,10,748.0,41
32,高橋,陽葵,0,71.0,44
32,田中,蓮,7,618.0,37
34,高橋,陽翔,0,681.0,43
34,鈴木,陽菜,0,512.0,33
34,伊藤,湊,1,865.0,33
35,佐藤,凛,2,458.0,36
36,伊藤,芽依,1,254.0,43
37,佐藤,湊,1,500.0,42
37,田中,碧,3,749.0,32
37,伊藤,碧,3,641.0,49
38,高橋,樹,1,985.0,35
39,田中,凛,7,316.0,42
40,田中,陽翔,2,668.0,45
40,伊藤,陽菜,9,497.0,48
41,伊藤,陽翔,10,582.0,32
42,田中,湊,4,785.0,42
43,伊藤,葵,3,954.0,46
45,佐藤,芽依,9,343.0,39
46,佐藤,湊,0,773.0,33
47,伊藤,陽翔,10,950.0,46
49,田中,蒼,10,718.0,30
49,佐藤,陽翔,3,905.0,42
50,佐藤,蓮,5,503.0,50
50,鈴木,朝陽,5,33.0,40
50,鈴木,樹,10,563.0,45
51,高橋,葵,7,846.0,50
51,伊藤,朝陽,3,709.0,44
52,高橋,朝陽,6,764.0,42
53,伊藤,陽菜,1,440.0,38
54,佐藤,葵,1,159.0,36
54,鈴木,陽翔,10,47.0,45
54,高橋,蒼,8,988.0,46
54,伊藤,碧,3,428.0,43
56,鈴木,碧,4,364.0,44
56,伊藤,凛,7,574.0,34
56,佐藤,陽翔,9,978.0,47
56,伊藤,蓮,9,470.0,33
59,伊藤,陽菜,4,842.0,34
59,田中,蒼,1,781.0,45
61,鈴木,陽翔,7,538.0,35
61,佐藤,碧,10,959.0,39
62,高橋,蓮,5,89.0,38
62,佐藤,樹,8,569.0,38
63,高橋,陽菜,9,684.0,37
65,佐藤,紬,4,424.0,45
66,佐藤,紬,2,16.0,48
66,鈴木,蓮,10,987.0,43
67,田中,蒼,6,100.0,46
68,佐藤,湊,8,847.0,33
68,田中,凛,6,474.0,33
69,佐藤,陽葵,9,733.0,38
69,高橋,碧,3,330.0,39
70,高橋,陽菜,3,565.0,40
71,佐藤,湊,1,60.0,44
72,鈴木,蒼,9,754.0,47
74,鈴木,樹,9,151.0,47
77,田中,葵,4,885.0,43
78,鈴木,陽菜,4,66.0,48
